GROUP,PACKAGE,CLASS,BRANCH_COVERED,LINE_COVERED,MUTATION,M_LINK,L_LINK,d,d^2,B_LINK,d,d^2
Apache Commons Configuration,org.apache.commons.configuration2.reloading,PeriodicReloadingTrigger,12,34,100%,1,72,-71,5041,74,-73,5329
Apache Commons Configuration,org.apache.commons.configuration2.reloading,ManagedReloadingDetector,0,8,100%,1,144,-143,20449,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.reloading,VFSFileHandlerReloadingDetector,8,27,100%,1,84,-83,6889,89,-88,7744
Apache Commons Configuration,org.apache.commons.configuration2.reloading,FileHandlerReloadingDetector,20,39,88%,126,62,64,4096,48,78,6084
Apache Commons Configuration,org.apache.commons.configuration2.reloading,ReloadingController,10,27,100%,1,84,-83,6889,82,-81,6561
Apache Commons Configuration,org.apache.commons.configuration2.reloading,ReloadingEvent,0,6,100%,1,156,-155,24025,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeUpdateData,4,15,90%,116,122,-6,36,109,7,49
Apache Commons Configuration,org.apache.commons.configuration2.tree,TrackedNodeModel,7,36,84%,138,66,72,5184,96,42,1764
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultConfigurationKey,83,119,87%,130,20,110,12100,8,122,14884
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction,41,135,97%,87,16,71,5041,24,63,3969
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeNameMatchers,0,3,100%,1,165,-164,26896,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.tree,ImmutableNode,26,66,96%,92,39,53,2809,40,52,2704
Apache Commons Configuration,org.apache.commons.configuration2.tree,OverrideCombiner,19,29,100%,1,82,-81,6561,54,-53,2809
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeSelector,14,36,87%,130,66,64,4096,65,65,4225
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngine,43,73,98%,85,35,50,2500,23,62,3844
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTracker,26,79,95%,97,33,64,4096,40,57,3249
Apache Commons Configuration,org.apache.commons.configuration2.tree,QueryResult,8,27,93%,107,84,23,529,89,18,324
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeCombiner,0,10,50%,159,137,22,484,136,23,529
Apache Commons Configuration,org.apache.commons.configuration2.tree,TrackedNodeHandler,0,7,100%,1,149,-148,21904,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel,115,342,97%,87,2,85,7225,4,83,6889
Apache Commons Configuration,org.apache.commons.configuration2.tree,ReferenceTracker,16,35,100%,1,68,-67,4489,61,-60,3600
Apache Commons Configuration,org.apache.commons.configuration2.tree,ConfigurationNodeVisitorAdapter,0,3,100%,1,165,-164,26896,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.tree,AbstractImmutableNodeHandler,14,24,100%,1,94,-93,8649,65,-64,4096
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeAddData,2,13,100%,1,130,-129,16641,119,-118,13924
Apache Commons Configuration,org.apache.commons.configuration2.tree,TreeData,10,35,94%,103,68,35,1225,82,21,441
Apache Commons Configuration,org.apache.commons.configuration2.tree,MergeCombiner,27,47,94%,103,52,51,2601,37,66,4356
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngineSymbols,4,45,95%,97,53,44,1936,109,-12,144
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeHandlerDecorator,0,16,100%,1,117,-116,13456,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.tree,TreeUtils,11,22,0%,173,102,71,5041,78,95,9025
Apache Commons Configuration,org.apache.commons.configuration2.tree,UnionCombiner,16,25,100%,1,92,-91,8281,61,-60,3600
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTreeWalker,22,33,100%,1,74,-73,5329,45,-44,1936
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup,7,33,64%,155,74,81,6561,96,59,3481
