GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,COMPLEXITY_TOTAL,BRANCH_RANK,LINE_RANK,CC_RANK,d_Branch,d_Line,d^2_Branch,d^2_Line
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,XPathContextFactory,0,13,0,0,0,8,0,4,0,4,4,218,189,196,22,-7,484,49
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider.ReloadableWrapperBuilder,0,13,0,0,4,27,0,10,0,6,10,219,102,129,90,-27,8100,729
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider.WrapperBuilder,0,24,0,0,0,13,0,6,0,3,6,220,165,162,58,3,3364,9
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingMultiFileConfigurationBuilder,0,47,0,0,2,39,0,23,0,13,23,221,73,63,158,10,24964,100
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory.EventSourceSupport,0,34,0,0,0,27,0,12,0,7,12,222,102,118,104,-16,10816,256
Apache Commons Configuration,org.apache.commons.configuration2.builder,HierarchicalBuilderParametersImpl,0,22,0,0,0,6,0,4,0,4,4,223,211,196,27,15,729,225
Apache Commons Configuration,org.apache.commons.configuration2.builder,PropertiesBuilderParametersImpl,0,49,0,0,1,15,1,8,1,6,9,224,154,136,88,18,7744,324
Apache Commons Configuration,org.apache.commons.configuration2.builder,ConfigurationBuilderEvent,0,28,0,0,0,36,1,19,0,16,20,225,78,69,156,9,24336,81
Apache Commons Configuration,org.apache.commons.configuration2.builder,JndiBuilderParametersImpl,0,15,0,0,1,119,5,67,0,28,72,226,20,14,212,6,44944,36
Apache Commons Configuration,org.apache.commons.configuration2.builder,BasicConfigurationBuilder.new BeanDeclaration() {...},2,23,0,0,0,135,3,54,0,35,57,227,16,21,206,-5,42436,25
Apache Commons Configuration,org.apache.commons.configuration2.builder,INIBuilderProperties,4,0,0,0,0,5,0,2,0,2,2,228,226,243,-15,-17,225,289
Apache Commons Configuration,org.apache.commons.configuration2.builder,INIBuilderParametersImpl,31,21,0,0,0,3,0,1,0,1,1,229,250,278,-49,-28,2401,784
Apache Commons Configuration,org.apache.commons.configuration2.builder,PropertiesBuilderProperties,2,0,0,0,0,66,0,32,0,19,32,230,41,44,186,-3,34596,9
Apache Commons Configuration,org.apache.commons.configuration2.builder,XMLBuilderParametersImpl,0,71,0,0,0,29,1,13,0,4,14,231,99,101,130,-2,16900,4
Apache Commons Configuration,org.apache.commons.configuration2.builder,DatabaseBuilderParametersImpl,0,46,0,0,0,36,0,15,0,8,15,232,78,96,136,-18,18496,324
Apache Commons Configuration,org.apache.commons.configuration2.builder,EventListenerParameters,0,26,0,0,0,73,1,35,0,14,36,233,37,40,193,-3,37249,9
